epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,25176,1.29269,0.70323,1.73282,0.96996,0.97737,0.97348,0.64298,1.3644,0.56089,1.67932,0.000231213,0.000231213,0.000231213
89,25460.4,1.29287,0.71794,1.73577,0.94167,0.97952,0.96984,0.65921,1.31148,0.56052,1.6545,0.00021471,0.00021471,0.00021471
90,25743.6,1.27576,0.70824,1.73226,0.94388,0.97603,0.97569,0.65117,1.31752,0.55532,1.65964,0.000198206,0.000198206,0.000198206
91,26024.6,1.32726,0.62135,1.78424,0.9421,0.97474,0.96989,0.65786,1.30386,0.57983,1.64735,0.000181703,0.000181703,0.000181703
92,26305,1.3267,0.61024,1.78371,0.95811,0.96634,0.96946,0.66273,1.30042,0.56298,1.64595,0.0001652,0.0001652,0.0001652
93,26585.3,1.30869,0.60602,1.7791,0.95442,0.97598,0.97206,0.65491,1.30078,0.57212,1.6599,0.000148696,0.000148696,0.000148696
94,26867.3,1.31189,0.59331,1.76491,0.95408,0.97487,0.97364,0.67465,1.29178,0.55702,1.64075,0.000132193,0.000132193,0.000132193
95,27147.3,1.30661,0.59597,1.76073,0.94505,0.97831,0.97579,0.66735,1.30245,0.56762,1.65096,0.00011569,0.00011569,0.00011569
96,27427.1,1.31653,0.59165,1.77374,0.96783,0.97596,0.97736,0.66087,1.3006,0.56166,1.65566,9.91865e-05,9.91865e-05,9.91865e-05
97,27706.9,1.31629,0.58599,1.77791,0.94471,0.97831,0.97462,0.66462,1.30606,0.55777,1.64909,8.26832e-05,8.26832e-05,8.26832e-05
98,27986.2,1.31352,0.58556,1.77286,0.94383,0.97626,0.97539,0.66668,1.29822,0.55503,1.64232,6.61799e-05,6.61799e-05,6.61799e-05
99,28270.4,1.31106,0.58938,1.77845,0.94577,0.97952,0.97478,0.66792,1.296,0.54717,1.6409,4.96766e-05,4.96766e-05,4.96766e-05
100,28561.4,1.30697,0.59112,1.7631,0.94532,0.97831,0.97479,0.66939,1.2893,0.5523,1.63912,3.31733e-05,3.31733e-05,3.31733e-05
